Species,Networks
albertisia undulata,Engel_2000_row_names.csv
alchornea costaricensis,Blake_1992_row_names.csv
alchornea discolor,Correa_2016_Apaporis_row_names.csv
alchornea engel2000 unidsp 1,Engel_2000_row_names.csv
alchornea fluviatilis,Correa_2016_Caqueta_row_names.csv
alchornea glandulosa,M_SD_010_single_partners_added_row_names.csv; Machado_de_Souza_2019_row_names.csv
alchornea latifolia,Garcia_Estrada_2012_row_names.csv; M_SD_003_row_names.csv; M_SD_004_row_names.csv; M_SD_005_row_names.csv; M_SD_006_row_names.csv
alchornea quitian2018 unidsp 100,Quitian_2018_1000Natural_row_names.csv
alchornea sidifolia,Athie_2009_row_names.csv
alchornea triplinervia,Castro_2015_row_names.csv; Faustino_2006_row_names.csv; Gorchov_1995_row_names.csv; Machado_de_Souza_2019_row_names.csv; SAAV1_row_names.csv; SAAV2_row_names.csv
aldama garcia-estrada2012 unidsp 50,Garcia_Estrada_2012_row_names.csv
alectryon excelsus,Williams_1996_Marsden_row_names.csv
aleurites moluccanus,Engel_2000_row_names.csv
allophylus abyssinicus,M_SD_034_row_names.csv
allophylus edulis,Andrade_2011_row_names.csv; Blendinger_2015_row_names.csv; Fadini_2004_row_names.csv
allophylus pervillei,Engel_2000_row_names.csv
allophylus quitian2018 unidsp 200,Quitian_2018_2000Fragmented_row_names.csv
alnus glutinosa,Jaroszewicz_2013_row_names.csv
alopecurus geniculatus,Jaroszewicz_2013_row_names.csv
alopecurus pratensis,Jaroszewicz_2013_row_names.csv
alphonsea elliptica,Suzuki_2007_row_names.csv
amaioua guianensis,Correa_2016_Apaporis_row_names.csv; Correa_2016_Caqueta_row_names.csv; Lessa_2010_row_names.csv; Lessa_2013_row_names.csv; Machado_de_Souza_2019_row_names.csv
amaranthaceae gorchov1995 unidsp 1,Gorchov_1995_row_names.csv
amelanchier ovalis,M_SD_020_row_names.csv
ampelopsis cantoniensis,Chen_1999_row_names.csv
anacardium occidentale,Engel_2000_row_names.csv; M_SD_010_single_partners_added_row_names.csv
anagallis arvensis,Jaroszewicz_2013_row_names.csv
andira inermis,M_SD_004_row_names.csv
aniba muca,Kessler_Rios_2012_row_names.csv
annona hypoglauca,Correa_2016_Apaporis_row_names.csv; Correa_2016_Caqueta_row_names.csv
annona lopez& unidsp 866,Lopez_and_Vaughn_2004_row_names.csv
annona muricata,Engel_2000_row_names.csv
annona senegalensis,Engel_2000_row_names.csv
annona squamosa,Engel_2000_row_names.csv
annonaceae correa2016 unidsp 1,Correa_2016_Apaporis_row_names.csv
annonaceae engel2000 unidsp 1,Engel_2000_row_names.csv
annonaceae engel2000 unidsp 2,Engel_2000_row_names.csv
annonaceae engel2000 unidsp 3,Engel_2000_row_names.csv
annonaceae engel2000 unidsp 4,Engel_2000_row_names.csv
annonaceae engel2000 unidsp 5,Engel_2000_row_names.csv
anthemis cotula,Jaroszewicz_2013_row_names.csv
anthemis ruthenica,Jaroszewicz_2013_row_names.csv
anthoxanthum odoratum,Jaroszewicz_2013_row_names.csv
anthurium acaule,Gorchov_1995_row_names.csv
anthurium affine,Faustino_2006_row_names.csv
anthurium arias-arone2016 unidsp 1,Arias_Arone_2016_row_names.csv
anthurium arias-arone2016 unidsp 2,Arias_Arone_2016_row_names.csv
anthurium arias-arone2016 unidsp 3,Arias_Arone_2016_row_names.csv
anthurium blake1992 unidsp 1,Blake_1992_row_names.csv
anthurium castano2018 unidsp 1,Castano_2018_row_names.csv
anthurium castro-luna2012 unidsp 968,Castro_Luna_2012_row_names.csv
anthurium correa2016 unidsp 1,Correa_2016_Caqueta_row_names.csv
anthurium effusispathum,Zamora_Delgado_2008_row_names.csv
anthurium glaucospadix,Castano_2018_row_names.csv
anthurium gorchov1995 unidsp 1,Gorchov_1995_row_names.csv
anthurium gracile,M_SD_010_single_partners_added_row_names.csv
anthurium longistrorsum,Zamora_Delgado_2008_row_names.csv
anthurium lopez& unidsp 377,Lopez_and_Vaughn_2004_row_names.csv
anthurium obtusum,Dehling_2017_San_Pedro_4_row_names.csv
anthurium scandens,M_SD_003_row_names.csv; M_SD_004_row_names.csv; M_SD_010_single_partners_added_row_names.csv
anthurium stipitatum,Castano_2018_row_names.csv
anthurium triphyllum,Zamora_Delgado_2008_row_names.csv
anthurium versicolor,Castano_2018_row_names.csv
anthurium wolfe2014 unidsp mult,Wolfe_2014_row_names.csv
anthurium zamora-delgado2008 unidsp 760,Zamora_Delgado_2008_row_names.csv
antiaris toxicaria,Engel_2000_row_names.csv; Hovestadt_1997_row_names.csv; M_SD_034_row_names.csv; Menke_2012_edge_highly_dist_row_names.csv; Menke_2012_edge_little_dist_row_names.csv; Menke_2012_interior_highly_dist_row_names.csv; Menke_2012_interior_little_dist_row_names.csv; Suzuki_2007_row_names.csv
antidesma venosum,Engel_2000_row_names.csv; Hovestadt_1997_row_names.csv; M_SD_008_row_names.csv
apeiba membranacea,Correa_2016_Caqueta_row_names.csv
apera spica-venti,Jaroszewicz_2013_row_names.csv
aphanamixis polystachya,Suzuki_2007_row_names.csv
aphananthe cuspidata,Suzuki_2007_row_names.csv
aphanes microcarpa,M_SD_031_row_names.csv
apodytes dimidiata,Engel_2000_row_names.csv; M_SD_008_row_names.csv
apollonias barbujana,Cruz_2013_Winter_row_names.csv
aporosa kamruzzaman2008 unidsp 906,Kamruzzaman_2008_row_names.csv
aporrhiza paniculata,Engel_2000_row_names.csv
aporusa sp1 m_sd_002,M_SD_002_row_names.csv
arabidopsis arenosa,Jaroszewicz_2013_row_names.csv
arabidopsis thaliana,Jaroszewicz_2013_row_names.csv
araceae correa2016 unidsp 1,Correa_2016_Caqueta_row_names.csv
araceae correa2016 unidsp 499,Correa_2016_Apaporis_row_names.csv
araceae gorchov1995 unidsp 1,Gorchov_1995_row_names.csv
araceae lima2016 unidsp 86,Lima_2016_row_names.csv
aralia bipinnata,Chen_1999_row_names.csv
aralia decaisneana,Chen_1999_row_names.csv
arbutus unedo,Fuentes_1994_row_names.csv
ardisia auriculata,Blake_1992_row_names.csv
ardisia nigropunctata,Blake_1992_row_names.csv
ardisia obovata,M_SD_005_row_names.csv
ardisia sieboldii,Chen_1999_row_names.csv; Noma_1997_row_names.csv
areca triandra,Suzuki_2007_row_names.csv
aristotelia serrata,Burns_2013_row_names.csv; Garcia_2014_Zealandia_row_names.csv; Odonnell_1994_row_names.csv; Williams_1996_Marsden_row_names.csv
arrhenatherum elatius,Jaroszewicz_2013_row_names.csv
artemisia vulgaris,Jaroszewicz_2013_row_names.csv
artocarpus altilis,M_SD_010_single_partners_added_row_names.csv
artocarpus chama,Kamruzzaman_2008_row_names.csv
artocarpus heterophyllus,Engel_2000_row_names.csv
artocarpus lacucha,Suzuki_2007_row_names.csv
artocarpus nobilis,Jayasekara_2003_row_names.csv; Jayasekara_2007_row_names.csv
arum italicum,M_SD_020_row_names.csv
arum maculatum,Snow_1988_JJA_row_names.csv; Snow_1988_SON_row_names.csv
ascarina lucida,Odonnell_1994_row_names.csv
asparagus acutifolius,Costa_2013_endozoochory_row_names.csv
asparagus racemosus,Castley_2001_row_names.csv
asplundia arias-arone2016 unidsp 1,Arias_Arone_2016_row_names.csv
asteliaceae arias-arone2016 unidsp 1,Arias_Arone_2016_row_names.csv
asteranthe asterias,Engel_2000_row_names.csv
asystasia engel2000 unidsp 1,Engel_2000_row_names.csv
atriplex prostrata,Jaroszewicz_2013_row_names.csv
aureliana passos2003 unidsp 1,Passos_2003_row_names.csv
azadirachta indica,David_2011_tree_focal_watches_row_names.csv; Kamruzzaman_2008_row_names.csv
azima tetracantha,Castley_2001_row_names.csv
bactris riparia,Correa_2016_Apaporis_row_names.csv
balakata baccata,Suzuki_2007_row_names.csv
balanites wilsoniana,Engel_2000_row_names.csv
banara arguta,Dehling_2017_San_Pedro_1_row_names.csv
beilschmiedia tawa,Garcia_2014_Blue_Duck_row_names.csv
beilschmiedia tovarensis,SAAV1_row_names.csv
beilschmiedia villosa,Suzuki_2007_row_names.csv
bejaria aestuans,Dehling_2017_Wayqecha_1_row_names.csv
bellis perennis,M_SD_031_row_names.csv
berberis asiatica,Palita_2011_row_names.csv
berberis glaucocarpa,MacFarlane_2016_row_names.csv; Williams_1996_Eves_row_names.csv; Wyman_2017_row_names.csv
berberis vulgaris,M_SD_020_row_names.csv
berchemia racemosa,Koike_2008_row_names.csv
bersama abyssinica,Engel_2000_row_names.csv
bertiera guianensis,Blake_1992_row_names.csv
besleria columneoides,Blake_1992_row_names.csv
betula jaroszewicz2013 unidsp 961,Jaroszewicz_2013_row_names.csv
bhesa robusta,Suzuki_2007_row_names.csv
bischofia javanica,Pratt_1985_row_names.csv
blepharocalyx salicifolius,Malacco_da_Silva_2014_row_names.csv
blighia unijugata,Engel_2000_row_names.csv; M_SD_034_row_names.csv
bocageopsis correa2016 unidsp 402,Correa_2016_Apaporis_row_names.csv
bocconia frutescens,Chimera_2010_row_names.csv
boerhavia coccinea,Nogales_2017_row_names.csv
bothriospora corymbosa,Correa_2016_Apaporis_row_names.csv
brachiaria multiculma,Nogales_2017_row_names.csv
bridelia cathartica,Engel_2000_row_names.csv
bridelia ferruginea,Hovestadt_1997_row_names.csv
bridelia hispida,Kamruzzaman_2008_row_names.csv
bridelia micrantha,Engel_2000_row_names.csv; M_SD_008_row_names.csv; M_SD_034_row_names.csv; Menke_2012_edge_highly_dist_row_names.csv; Menke_2012_edge_little_dist_row_names.csv; Menke_2012_interior_highly_dist_row_names.csv; Menke_2012_interior_little_dist_row_names.csv
bromeliaceae machado-de-souza2019 unidsp 323,Machado_de_Souza_2019_row_names.csv
brosimum glaucum,Machado_de_Souza_2019_row_names.csv
brunellia stenoptera,Dehling_2017_San_Pedro_1_row_names.csv
bryonia cretica subsp dioica,Costa_2013_endozoochory_row_names.csv; Snow_1988_DJF_row_names.csv; Snow_1988_JJA_row_names.csv; Snow_1988_SON_row_names.csv; Sorensen_1981_row_names.csv
buchenavia capitata,M_SD_004_row_names.csv
bullockia mombazensis,Engel_2000_row_names.csv
bursera fagaroides,Ramos_Robles_2016_net2_row_names.csv
bursera graveolens,Nogales_2017_row_names.csv
bursera simaruba,M_SD_005_row_names.csv; Ramos_Robles_2016_net10_row_names.csv; Ramos_Robles_2016_net2_row_names.csv; Ramos_Robles_2016_net3_row_names.csv; Ramos_Robles_2016_net4_row_names.csv; Ramos_Robles_2016_net7_row_names.csv
byrsonima coriacea,M_SD_003_row_names.csv
byrsonima correa2016 unidsp 227,Correa_2016_Apaporis_row_names.csv
byrsonima dosreis unidsp 1,Dos_Reis_1983_Cult_et_form_sec_row_names.csv
byrsonima intermedia,Malacco_da_Silva_2014_row_names.csv; Marcos_da_Silva_2013_row_names.csv
byrsonima japurensis,Correa_2016_Apaporis_row_names.csv
byrsonima ligustrifolia,Machado_de_Souza_2019_row_names.csv
byrsonima sericea,Andrade_2011_row_names.csv
byrsonima spicata,M_SD_010_single_partners_added_row_names.csv
byrsonima stipulacea,Lima_2016_row_names.csv
cabralea canjerana,Castro_2015_row_names.csv; M_SD_009_row_names.csv; M_SD_012_row_names.csv; Machado_de_Souza_2019_row_names.csv; Malacco_da_Silva_2014_row_names.csv
cactaceae gorchov1995 unidsp 1,Gorchov_1995_row_names.csv
caesalpinia volkensii,Engel_2000_row_names.csv
calamagrostis arundinacea,Jaroszewicz_2013_row_names.csv
calamagrostis canescens,Jaroszewicz_2013_row_names.csv
callicarpa formosana,Chen_1999_row_names.csv
callicarpa kochiana,Chen_1999_row_names.csv
calluna vulgaris,Jaroszewicz_2013_row_names.csv; M_SD_031_row_names.csv
calophyllum brasiliense,Garcia_Estrada_2012_row_names.csv
calophyllum correa2016 unidsp 1,Correa_2016_Caqueta_row_names.csv
calycolpus goetheanus,M_SD_010_single_partners_added_row_names.csv
calyptranthes concinna,Castro_2015_row_names.csv
campanula trachelium,Jaroszewicz_2013_row_names.csv
campomanesia adamantium,Genrich_2017_row_names.csv
campomanesia guaviroba,Castro_2015_row_names.csv
campomanesia lessa2013 unidsp 335,Lessa_2013_row_names.csv
cananga odorata,Engel_2000_row_names.csv
canarium euphyllum,Suzuki_2007_row_names.csv
canthium coffeoides,Suzuki_2007_row_names.csv
canthium engel2000 unidsp 1,Engel_2000_row_names.csv
canthium engel2000 unidsp 2,Engel_2000_row_names.csv
canthium engel2000 unidsp 3,Engel_2000_row_names.csv
canthium engel2000 unidsp 4,Engel_2000_row_names.csv
canthium sp1 m_sd_002,M_SD_002_row_names.csv
capparis erythrocarpos,Engel_2000_row_names.csv
capsella bursa-pastoris,Jaroszewicz_2013_row_names.csv
carex canescens,Jaroszewicz_2013_row_names.csv
carex echinata,Jaroszewicz_2013_row_names.csv
carex elongata,Jaroszewicz_2013_row_names.csv
carex flava,Jaroszewicz_2013_row_names.csv
carex hirta,Jaroszewicz_2013_row_names.csv
carex jaroszewicz2013 unidsp 793,Jaroszewicz_2013_row_names.csv
carex leporina,Jaroszewicz_2013_row_names.csv
carex nigra,Jaroszewicz_2013_row_names.csv
carex pairae,Jaroszewicz_2013_row_names.csv
carex panicea,Jaroszewicz_2013_row_names.csv
carex pilosa,Jaroszewicz_2013_row_names.csv
carex pseudocyperus,Jaroszewicz_2013_row_names.csv
carex remota,Jaroszewicz_2013_row_names.csv
carex spicata,Jaroszewicz_2013_row_names.csv
carex sylvatica,Jaroszewicz_2013_row_names.csv
carex viridula,M_SD_031_row_names.csv
carex vulcani,M_SD_031_row_names.csv
carex vulpina,Jaroszewicz_2013_row_names.csv
carica papaya,Dos_Reis_1983_Cult_et_form_sec_row_names.csv; Engel_2000_row_names.csv; Fricke_2018_Saipan_row_names.csv; Garcia_et_al_2000_row_names.csv; Kamruzzaman_2008_row_names.csv
carissa edulis,M_SD_034_row_names.csv
carpinus betulus,Jaroszewicz_2013_row_names.csv
carpobrotus deliciosus,Castley_2001_row_names.csv
carpodetus serratus,Garcia_2014_Mount_Fyfee_Reserve_row_names.csv; Odonnell_1994_row_names.csv; Wyman_2017_row_names.csv
carpolobia goetzei,Engel_2000_row_names.csv
cascabela thevetia,Engel_2000_row_names.csv
casearia arborea,M_SD_003_row_names.csv; M_SD_004_row_names.csv
casearia battiscombei,M_SD_034_row_names.csv
casearia corymbosa,Dehling_2017_San_Pedro_1_row_names.csv; Palmeirim_1989_row_names.csv; Ramos_Robles_2016_net8_row_names.csv
casearia decandra,Machado_de_Souza_2019_row_names.csv
casearia grewiifolia,Suzuki_2007_row_names.csv
casearia sylvestris,Athie_2009_row_names.csv; Castro_2015_row_names.csv; Fadini_2004_row_names.csv; Machado_de_Souza_2019_row_names.csv
casimiroa edulis,Garcia_Estrada_2012_row_names.csv
cassia fruticosa,Palmeirim_1989_row_names.csv
cassipourea euryoides,Engel_2000_row_names.csv
castilla elastica,M_SD_010_single_partners_added_row_names.csv
catunaregam nilotica,Engel_2000_row_names.csv
cavendishia bracteata,Dehling_2017_Wayqecha_1_row_names.csv; Dehling_2017_Wayqecha_2_row_names.csv; Dehling_2017_Wayqecha_3_row_names.csv; Dehling_2017_Wayqecha_4_row_names.csv
cavendishia nitida,Castano_2018_row_names.csv
cavendishia zamora-delgado2008 unidsp 325,Zamora_Delgado_2008_row_names.csv
cavendishia zamorensis,Zamora_Delgado_2008_row_names.csv
cayaponia cruegeri,Correa_2016_Caqueta_row_names.csv
cayratia japonica,Chen_1999_row_names.csv
cecropia andrade2011 unidsp 729,Andrade_2011_row_names.csv
cecropia angustifolia,Castano_2018_row_names.csv; Quitian_2018_2000Fragmented_row_names.csv; Quitian_2018_2000Natural_row_names.csv; Zamora_Delgado_2008_row_names.csv
cecropia arias-arone2016 unidsp 1,Arias_Arone_2016_row_names.csv
cecropia arias-arone2016 unidsp 2,Arias_Arone_2016_row_names.csv
cecropia arias-arone2016 unidsp 3,Arias_Arone_2016_row_names.csv
cecropia arias-arone2016 unidsp 4,Arias_Arone_2016_row_names.csv
cecropia arias-arone2016 unidsp 5,Arias_Arone_2016_row_names.csv
cecropia arias-arone2016 unidsp 6,Arias_Arone_2016_row_names.csv
cecropia arias-arone2016 unidsp 7,Arias_Arone_2016_row_names.csv
cecropia athie2009 unidsp mult,Athie_2009_row_names.csv
cecropia brito2010 unidsp 42,Brito_2010_row_names.csv
cecropia carvalho2008 unidsp 1,Carvalho_2008_row_names.csv
cecropia concolor,Dos_Reis_1983_Cult_et_form_sec_row_names.csv
cecropia correa2016 unidsp 2,Correa_2016_Caqueta_row_names.csv
cecropia correa2016 unidsp 3,Correa_2016_Caqueta_row_names.csv
cecropia deoliveira unidsp 2,de_Oliveira_1999_row_names.csv
cecropia distachya,Correa_2016_Apaporis_row_names.csv; Gorchov_1995_row_names.csv
cecropia ficifolia,Gorchov_1995_row_names.csv
cecropia gabrielis,Zamora_Delgado_2008_row_names.csv
cecropia glaziovii,Aguiar_2007_row_names.csv; Castro_2015_row_names.csv; Fadini_2004_row_names.csv; Garcia_et_al_2000_row_names.csv; Genrich_2017_row_names.csv; Gomes_2013_row_names.csv; Lima_2016_row_names.csv; Mello_2014_Mata_de_Grota_row_names.csv; Munster_2008_row_names.csv; Passos_2003_row_names.csv; Tavares_2007_row_names.csv
cecropia hayashi1996 unidsp 369,Hayashi_1996_row_names.csv
cecropia hololeuca,Aguiar_2007_row_names.csv; Faria_1996_row_names.csv; Genrich_2017_row_names.csv; Gomes_2013_row_names.csv; Lima_2016_row_names.csv; Tavares_2007_row_names.csv
cecropia insignis,Blake_1992_row_names.csv; Lopez_and_Vaughn_2004_row_names.csv
cecropia latiloba,Correa_2016_Caqueta_row_names.csv
cecropia lima2016 unidsp 653,Lima_2016_row_names.csv
cecropia membranacea,Arias_Arone_2016_row_names.csv; Gorchov_1995_row_names.csv
cecropia novoa2011 unidsp 498,Novoa_2011_row_names.csv
cecropia obtusifolia,Blake_1992_row_names.csv; Castro_Luna_2012_row_names.csv; Garcia_Estrada_2012_row_names.csv; Garcia_Morales_2012_row_names.csv; Lopez_and_Vaughn_2004_row_names.csv; Lou_2005_row_names.csv; Lou_2007_row_names.csv; Palmeirim_1989_row_names.csv; Preciado_Benitez_2015_row_names.csv; Santiago_2014_close_to_remnant_row_names.csv; Santiago_2014_far_from_remnant_row_names.csv
cecropia pachystachya,Aguiar_2007_row_names.csv; Brito_2010_row_names.csv; Carvalho_2008_row_names.csv; Faria_1996_row_names.csv; Genrich_2017_row_names.csv; Gomes_2013_row_names.csv; M_SD_012_row_names.csv; Machado_de_Souza_2019_row_names.csv; Marcos_da_Silva_2013_row_names.csv; Munin_2012_row_names.csv; Munster_2008_row_names.csv; Passos_2003_row_names.csv; Pedro_1992_row_names.csv; Robinson_2015_row_names.csv; Sanchez_2012_Iguazu_row_names.csv; SARM_whole_network_from_paper_row_names.csv; Silva_Oliveira_2018_row_names.csv; Silveira_2006_row_names.csv; Souza_Laurindo_2017_row_names.csv; Tavares_2007_row_names.csv
cecropia palmata,Dos_Reis_1983_Cult_et_form_sec_row_names.csv
cecropia peltata,Castro_Luna_2012_row_names.csv; Fleming_1977_row_names.csv; Garcia_Estrada_2012_row_names.csv; M_SD_010_single_partners_added_row_names.csv; Santiago_2014_close_to_remnant_row_names.csv; Santiago_2014_far_from_remnant_row_names.csv; Zapata_Mesa_2017_MR_September_row_names.csv
cecropia polystachya,Dehling_2017_San_Pedro_1_row_names.csv; Dehling_2017_San_Pedro_4_row_names.csv; Novoa_2011_row_names.csv
cecropia quitian2018 unidsp 100,Quitian_2018_1000Fragmented_row_names.csv
cecropia quitian2018 unidsp 101,Quitian_2018_1000Fragmented_row_names.csv; Quitian_2018_1000Natural_row_names.csv
cecropia quitian2018 unidsp 102,Quitian_2018_1000Fragmented_row_names.csv
cecropia saav1na unidsp 487,SAAV1_row_names.csv
cecropia santiago2014 unidsp 1,Santiago_2014_close_to_remnant_row_names.csv; Santiago_2014_far_from_remnant_row_names.csv
cecropia schreberiana,M_SD_003_row_names.csv; M_SD_004_row_names.csv; M_SD_005_row_names.csv; M_SD_006_row_names.csv
cecropia sciadophylla,Gorchov_1995_row_names.csv
cecropia strigosa,Dehling_2017_San_Pedro_1_row_names.csv; Dehling_2017_San_Pedro_4_row_names.csv
cecropia telealba,Aguilar_Garavito_2014_mature_row_names.csv; Castano_2018_row_names.csv; Kessler_Rios_2012_row_names.csv
ceiba pentandra,Arias_Arone_2016_row_names.csv
celastraceae correa2016 unidsp 721,Correa_2016_Apaporis_row_names.csv
celastrus orbiculatus,M_SD_001_row_names.csv
celtis australis,Cruz_2013_Autumn_row_names.csv; Cruz_2013_Winter_row_names.csv
celtis toka,Hovestadt_1997_row_names.csv
celtis zenkeri,Hovestadt_1997_row_names.csv
centaurium erythraea,M_SD_031_row_names.csv
centropogon castano2018 unidsp 1,Castano_2018_row_names.csv
cerastium fontanum subsp vulgare,Jaroszewicz_2013_row_names.csv
cerastium sp1 m_sd_031,M_SD_031_row_names.csv
cerasus jamasakura var jamasakura,Koike_2008_row_names.csv; Noma_1997_row_names.csv
ceroxylon pityrophyllum,SAAV2_row_names.csv
cestrum bracteatum,Dehling_2017_San_Pedro_4_row_names.csv
cestrum parqui,Dehling_2017_San_Pedro_4_row_names.csv
cestrum preciado-benitez2015 unidsp 1,Preciado_Benitez_2015_row_names.csv
cestrum racemosum,Blake_1992_row_names.csv
cestrum sp1 m_sd_012,M_SD_012_row_names.csv
cestrum strigillatum,Blendinger_2015_row_names.csv
chamissoa altissima,Blendinger_2015_row_names.csv; M_SD_009_row_names.csv; M_SD_012_row_names.csv
chelidonium majus,Jaroszewicz_2013_row_names.csv
chenopodium album,Jaroszewicz_2013_row_names.csv
chenopodium castley2001 unidsp 803,Castley_2001_row_names.csv
chiococca alba,Genrich_2017_row_names.csv; M_SD_010_single_partners_added_row_names.csv; Nogales_2017_row_names.csv; Ramos_Robles_2016_net2_row_names.csv; Ramos_Robles_2016_net7_row_names.csv
chiococca andrade2011 unidsp 600,Andrade_2011_row_names.csv
chironia baccifera,Castley_2001_row_names.csv
chisocheton cumingianus,Sethi_2012_row_names.csv
chisocheton sp1 m_sd_002,M_SD_002_row_names.csv
chlorophora tinctoria,M_SD_012_row_names.csv
choerospondias axillaris,Suzuki_2007_row_names.csv
chrysanthemoides monilifera,Castley_2001_row_names.csv
chrysophyllum argenteum,M_SD_005_row_names.csv
chrysophyllum correa2016 unidsp 1,Correa_2016_Caqueta_row_names.csv
chrysophyllum flexuosum,Castro_2015_row_names.csv
chrysophyllum gonocarpum,Sanchez_2012_Iguazu_row_names.csv
chrysophyllum oliviforme,Mancina_2007_dry_row_names.csv
chrysophyllum viridifolium,Engel_2000_row_names.csv
chrysosplenium alternifolium,Jaroszewicz_2013_row_names.csv
cinnamodendron dinisii,Castro_2015_row_names.csv
cinnamomum bejolghota,Sethi_2012_row_names.csv
cinnamomum porphyrium,Blendinger_2015_row_names.csv
cinnamomum subavenium,Suzuki_2007_row_names.csv
cipocereus minensis,Lessa_2013_row_names.csv
circaea intermedia,Jaroszewicz_2013_row_names.csv
circaea lutetiana,Jaroszewicz_2013_row_names.csv
cirsium arvense,Jaroszewicz_2013_row_names.csv
cissampelos blake1992 unidsp 713,Blake_1992_row_names.csv
cissus aristata,M_SD_002_row_names.csv; Pratt_1985_row_names.csv
cissus fuliginea,Blake_1992_row_names.csv
cissus hypoglauca,M_SD_002_row_names.csv; Pratt_1985_row_names.csv
cissus oliveri,M_SD_034_row_names.csv
cissus striata,Blendinger_2015_row_names.csv
citharexylum caudatum,Wolfe_2014_row_names.csv
citharexylum mirianthum,M_SD_012_row_names.csv
citrus limon,Suzuki_2007_row_names.csv
citrus maxima,Engel_2000_row_names.csv
citrus nogales2017 unidsp 624,Nogales_2017_row_names.csv
citrus sinensis,Engel_2000_row_names.csv; M_SD_004_row_names.csv; M_SD_006_row_names.csv
citrus suzuki2007 unidsp 1,Suzuki_2007_row_names.csv
clarisia biflora,Lopez_and_Vaughn_2004_row_names.csv
clausena harmandiana,Suzuki_2007_row_names.csv
clerodendrum capitatum,M_SD_034_row_names.csv
clerodendrum infortunatum,Kamruzzaman_2008_row_names.csv
clerodendrum villosum,Nogales_2017_row_names.csv
clethra arborea,M_SD_031_row_names.csv
cleyera japonica,Noma_1997_row_names.csv
clibadium asperum,Blake_1992_row_names.csv
clibadium eggersii,Palmeirim_1989_row_names.csv
clidemia crenulata,Blake_1992_row_names.csv
clidemia debilis,SARM_whole_network_from_paper_row_names.csv
clidemia densiflora,Blake_1992_row_names.csv
clidemia dentata,Blake_1992_row_names.csv
clidemia discolor,Blake_1992_row_names.csv
clidemia epiphytica,Blake_1992_row_names.csv; Gorchov_1995_row_names.csv
clidemia hirta,Andrade_2011_row_names.csv; Gorchov_1995_row_names.csv; SARM_whole_network_from_paper_row_names.csv
clidemia japurensis,Gorchov_1995_row_names.csv
clidemia m_sd_010single unidsp 1,M_SD_010_single_partners_added_row_names.csv
clidemia urceolata,Lessa_2010_row_names.csv; Lessa_2013_row_names.csv
clidemia wolfe2014 unidsp mult,Wolfe_2014_row_names.csv
clinopodium vulgare,Jaroszewicz_2013_row_names.csv
clusia alata,Dehling_2017_Wayqecha_2_row_names.csv
clusia blake1992 unidsp 110,Blake_1992_row_names.csv
clusia correa2016 unidsp 1,Correa_2016_Caqueta_row_names.csv
clusia correa2016 unidsp 2,Correa_2016_Caqueta_row_names.csv
clusia correa2016 unidsp 914,Correa_2016_Apaporis_row_names.csv
clusia criuva,Castro_2015_row_names.csv
